|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Streets                          | Transportation Department                      | Traffic Management & Engineering         | Contractual Services          |           1,747,491 |             313,427 |            284,975 |       294,975 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Streets                          | Transportation Department                      | Policy & Planning                        | Contractual Services          |             112,174 |             666,830 |          1,757,722 |       889,850 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Streets                          | Transportation Department                      | Traffic Enforcement                      | Contractual Services          |             987,849 |             557,799 |            696,970 |       711,528 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Streets                          | Transportation Department                      | Traffic Operations                       | Contractual Services          |           2,375,353 |           2,495,384 |          3,357,837 |     2,768,374 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Streets                          | Transportation Department                      | Traffic Commissioner's Office            | Supplies & Materials          |              34,714 |              23,481 |             40,740 |        35,600 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Streets                          | Transportation Department                      | Traffic Management & Engineering         | Supplies & Materials          |               5,000 |               4,500 |              3,750 |         3,750 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Streets                          | Transportation Department                      | Policy & Planning                        | Supplies & Materials          | #Missing            |               1,342 | #Missing           | #Missing      |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Streets                          | Transportation Department                      | Traffic Enforcement                      | Supplies & Materials          |             337,212 |             302,472 |            305,015 |       366,818 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Streets                          | Transportation Department                      | Traffic Operations                       | Supplies & Materials          |           1,146,707 |           1,271,330 |          1,075,086 |     1,150,110 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Streets                          | Transportation Department                      | Traffic Commissioner's Office            | Current Charges & Obligations |             144,202 |             100,683 |            151,015 |       152,650 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Streets                          | Transportation Department                      | Traffic Management & Engineering         | Current Charges & Obligations |              24,373 |              18,624 |             40,300 |        40,300 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Streets                          | Transportation Department                      | Policy & Planning                        | Current Charges & Obligations |              14,414 |              13,214 |              5,000 |         5,000 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Streets                          | Transportation Department                      | Traffic Enforcement                      | Current Charges & Obligations |             196,811 |             127,067 |            171,300 |       171,300 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Streets                          | Transportation Department                      | Traffic Operations                       | Current Charges & Obligations |               1,646 |               5,408 |              3,705 |         3,705 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Streets                          | Transportation Department                      | Traffic Commissioner's Office            | Equipment                     | #Missing            | #Missing            |              1,200 |         1,200 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Streets                          | Transportation Department                      | Traffic Management & Engineering         | Equipment                     |             167,788 |              47,740 |             50,717 |        22,820 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Streets                          | Transportation Department                      | Traffic Enforcement                      | Equipment                     |             611,980 |             638,053 |            907,235 |       866,847 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Streets                          | Transportation Department                      | Traffic Operations                       | Equipment                     |             287,351 |             284,990 |            334,001 |       431,259 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Streets                          | Transportation Department                      | Parking Clerk                            | Personnel Services            |           3,021,207 |           2,995,050 |          3,221,076 |     3,219,209 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Streets                          | Transportation Department                      | Parking Clerk                            | Contractual Services          |           4,633,962 |           4,728,066 |          4,755,200 |     4,508,843 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Streets                          | Transportation Department                      | Parking Clerk                            | Supplies & Materials          |             280,820 |             254,602 |            210,000 |       214,280 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Streets                          | Transportation Department                      | Parking Clerk                            | Current Charges & Obligations |               2,887 |               2,366 |              2,500 |         2,001 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Streets                          | Transportation Department                      | Parking Clerk                            | Equipment                     |               1,108 |              14,054 |              6,000 |         6,000 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Non-Mayoral Departments          | City Clerk                                     | Legislative Support                      | Personnel Services            |             481,027 |             362,193 |            397,519 |       494,562 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Non-Mayoral Departments          | City Clerk                                     | Document Filing                          | Personnel Services            |             324,444 |             485,279 |            488,545 |       508,274 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Non-Mayoral Departments          | City Clerk                                     | Archives                                 | Personnel Services            |             401,793 |             410,579 |            426,663 |       456,148 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Non-Mayoral Departments          | City Clerk                                     | Legislative Support                      | Contractual Services          |              14,766 |              12,099 |             16,986 |       223,482 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Non-Mayoral Departments          | City Clerk                                     | Document Filing                          | Contractual Services          |               3,358 |               6,826 |             10,213 |        10,653 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Non-Mayoral Departments          | City Clerk                                     | Archives                                 | Contractual Services          |              53,084 |              55,592 |             67,331 |        62,274 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Non-Mayoral Departments          | City Clerk                                     | Legislative Support                      | Supplies & Materials          |               9,993 |               5,996 |              9,699 |         8,949 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Non-Mayoral Departments          | City Clerk                                     | Document Filing                          | Supplies & Materials          |               6,294 |              10,388 |              4,300 |         6,161 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Non-Mayoral Departments          | City Clerk                                     | Archives                                 | Supplies & Materials          |               5,219 |                 651 |              5,498 |         5,498 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Non-Mayoral Departments          | City Clerk                                     | Legislative Support                      | Current Charges & Obligations |               2,388 | #Missing            |              4,079 |             0 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Non-Mayoral Departments          | City Clerk                                     | Document Filing                          | Current Charges & Obligations |                  37 |                 426 | #Missing           |           426 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Non-Mayoral Departments          | City Clerk                                     | Archives                                 | Current Charges & Obligations |               1,145 |                 855 |              2,050 |         2,905 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Non-Mayoral Departments          | City Clerk                                     | Document Filing                          | Equipment                     |               8,394 | #Missing            | #Missing           |             0 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Non-Mayoral Departments          | City Clerk                                     | Archives                                 | Equipment                     | #Missing            |              13,936 | #Missing           |             0 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Non-Mayoral Departments          | City Council                                   | City Council Administration              | Personnel Services            |             280,657 |             384,477 |            371,045 |       392,330 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Non-Mayoral Departments          | City Council                                   | City Councilors                          | Personnel Services            |           4,477,619 |           4,412,764 |          4,899,178 |     6,173,792 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Non-Mayoral Departments          | City Council                                   | Legislative Financial Support            | Personnel Services            |             551,553 |             587,979 |            549,777 |       548,877 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Non-Mayoral Departments          | City Council                                   | City Council Administration              | Contractual Services          |              29,289 |              97,576 |             56,000 |        56,000 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Non-Mayoral Departments          | City Council                                   | City Councilors                          | Contractual Services          |             104,550 |              31,244 |            145,600 |       345,600 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Non-Mayoral Departments          | City Council                                   | Legislative Financial Support            | Contractual Services          |               1,450 |                -200 |              5,500 |         5,500 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Non-Mayoral Departments          | City Council                                   | City Council Administration              | Supplies & Materials          |              16,845 |              11,414 |             39,000 |        39,000 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Non-Mayoral Departments          | City Council                                   | City Councilors                          | Supplies & Materials          |               1,050 |               1,378 | #Missing           | #Missing      |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Non-Mayoral Departments          | City Council                                   | Legislative Financial Support            | Supplies & Materials          | #Missing            | #Missing            |                500 |           500 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Non-Mayoral Departments          | City Council                                   | City Council Administration              | Current Charges & Obligations | #Missing            |               2,481 |             15,100 |        15,100 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Non-Mayoral Departments          | City Council                                   | City Councilors                          | Current Charges & Obligations |               8,814 |               5,545 |              6,000 |         6,000 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Non-Mayoral Departments          | City Council                                   | Legislative Financial Support            | Current Charges & Obligations |               6,679 |               6,914 |             18,200 |        18,200 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Non-Mayoral Departments          | City Council                                   | City Council Administration              | Equipment                     | #Missing            | #Missing            | #Missing           |        57,500 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Non-Mayoral Departments          | City Council                                   | City Councilors                          | Equipment                     |              21,808 |              23,805 |             20,500 |        20,500 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Non-Mayoral Departments          | City Council                                   | Legislative Financial Support            | Equipment                     |               7,816 |              23,050 |             10,000 |        10,000 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Non-Mayoral Departments          | Finance Commission                             | Finance Commission Program               | Personnel Services            |             287,327 |             291,856 |            296,825 |       313,391 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Non-Mayoral Departments          | Finance Commission                             | Finance Commission Program               | Contractual Services          |               2,088 |               1,608 |              4,350 |         4,350 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Non-Mayoral Departments          | Finance Commission                             | Finance Commission Program               | Supplies & Materials          |                  63 |                  25 |                525 |           525 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Non-Mayoral Departments          | Finance Commission                             | Finance Commission Program               | Current Charges & Obligations |                  35 | #Missing            |                250 |           250 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
| Non-Mayoral Departments          | Finance Commission                             | Finance Commission Program               | Equipment                     | #Missing            | #Missing            |              2,125 |         2,125 |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
|                                  |                                                |                                          |                               |                     |                     |                    |               |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
|                                  |                                                |                                          |                               |                     |                     |                    |               |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
|                                  |                                                |                                          |                               |                     |                     |                    |               |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
|                                  |                                                |                                          |                               |                     |                     |                    |               |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
|                                  |                                                |                                          |                               |                     |                     |                    |               |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
|                                  |                                                |                                          |                               |                     |                     |                    |               |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
|                                  |                                                |                                          |                               |                     |                     |                    |               |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
|                                  |                                                |                                          |                               |                     |                     |                    |               |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
|                                  |                                                |                                          |                               |                     |                     |                    |               |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
|                                  |                                                |                                          |                               |                     |                     |                    |               |  |       |                                        |                                        |
|----------------------------------|------------------------------------------------|------------------------------------------|-------------------------------|---------------------|---------------------|--------------------|---------------|--|-------|----------------------------------------|----------------------------------------|
|                                  |                                                |                                          |                               |                     |                     |                    |               |  |       |                                        |                                        |
