Applicant Street,Applicant Zip Code,Type of Award,Race and Ethnicity,Primary Language Spoken,Gender Identity,Do you have a mobile housing voucher?,Receive SNAP/EBT Benefits?,How many in household?,Total Monthly Income all sources,Are you currently employed?,Total Amount Awarded,Date Payment Issued,Disposition of case,"If ineligible, why?",longitude,latitude
Saratoga place,02128,Future Stipend; Rental Arrears,Latino,Spanish,Female,No,Yes,4.0,0,No,7500.0,,Approved,,-71.0257,42.3642
Saratoga Place,02128,Rental Arrears,Latino,Spanish,Female,,,4.0,0,,4000.0,,Approved,,-71.0257,42.3642
Saratoga Plain,02128,,Latino,Spanish,Female,No,Yes,4.0,1100,,6000.0,,Approved,,-71.0257,42.3642
Saratoga St,02215,Future Stipend; Rental Arrears; Utility Payments,White,Spanish,Female,No,No,3.0,2412,Yes,9902.59,,Approved,,-71.1027,42.3471
Saratoga St,02128,Rental Arrears,White,English,Female,,,4.0,3500,,3200.0,,Approved,,-71.0257,42.3642
Saratoga St.,02128,Future Stipend; Rental Arrears,White,Spanish,Female,No,No,2.0,600,Yes,5400.0,,Approved,,-71.0257,42.3642
Saratoga St,02128,Rental Arrears,Latino; Multi-Racial,English,Female,No,Yes,1.0,2400,Yes,2950.0,,Approved,,-71.0257,42.3642
Saratoga St,02128,Rental Arrears,Multi-Racial,English,Female,No,No,1.0,0,,1700.0,,Approved,,-71.0257,42.3642
Saratoga Street,02128,Future Stipend; Rental Arrears; Utility Payments,American Indian or Alaskan Native,English,Male,No,No,1.0,0,No,7512.13,11/19/2021,Approved,,-71.0257,42.3642
Saratoga Street,02128,Future Stipend; Rental Arrears; Utility Payments,Latino,Spanish,Female,,,1.0,2700,No,14188.0,,Approved,,-71.0257,42.3642
Saratoga St,02128,Rental Arrears,Latino,Spanish,Female,No,Yes,2.0,292,,5700.0,,Approved,,-71.0257,42.3642
Saratoga St,02128,Future Stipend; Rental Arrears,White,English,Male,No,Yes,2.0,0,,5100.0,,Approved,,-71.0257,42.3642
Saratoga St,02128,Rental Arrears,Latino,Spanish,Female,No,Yes,1.0,250,No,5200.0,,Approved,,-71.0257,42.3642
Saratoga St,02128,Future Stipend; Rental Arrears,Latino,Spanish,Female,No,No,3.0,1008,,3600.0,,Approved,,-71.0257,42.3642
Saratoga Street,02128,Future Stipend; Rental Arrears; Utility Payments,White,English,Female,,,2.0,2268,No,17000.0,,Approved,,-71.0257,42.3642
Saratoga St,02128,Rental Arrears,Latino,Spanish,Male,No,Yes,4.0,600,,3750.0,,Approved,,-71.0257,42.3642
Saratoga St,02128,Rental Arrears,Latino,Spanish,Female,,,4.0,#ERROR!,,3100.0,,Approved,,-71.0257,42.3642
Saratoga St,02128,Future Stipend; Rental Arrears,Latino,Spanish,Female,No,Yes,3.0,500,,6000.0,,Approved,,-71.0257,42.3642
Saratoga Street,02128,Future Stipend; Rental Arrears; Utility Payments,Latino,Spanish,Female,No,No,1.0,0,No,9353.37,,Approved,,-71.0257,42.3642
Saratoga St,02128,Rental Arrears,Latino,Spanish,Female,No,No,3.0,1500,,4400.0,,Approved,,-71.0257,42.3642
Saratoga Street,02128,Rental Arrears,Latino,Spanish,Female,No,No,3.0,1188.75,Yes,5800.0,,Approved,,-71.0257,42.3642
Saratoga St,02128,Rental Arrears,Latino,Spanish,Female,No,No,5.0,0,,6000.0,,Approved,,-71.0257,42.3642
Saratoga St,02128,Rental Arrears,Latino,Spanish,Female,,,3.0,3500,Yes,15000.0,,Approved,,-71.0257,42.3642
SARATOGA ST,02128,Future Stipend; Rental Arrears,Latino,Spanish,Male,No,No,1.0,0,No,5250.0,3/3/2022,Approved,,-71.0257,42.3642
Saratoga St,02128,Rental Arrears,Latino,Spanish,Male,No,No,2.0,300,,6000.0,,Approved,,-71.0257,42.3642
SARATOGA ST,02128,Future Stipend; Utility Payments,Latino,English,Female,No,Yes,2.0,1437,No,6165.92,,Approved,,-71.0257,42.3642
Saratoga St,02128,,Latino,English,Female,No,Yes,2.0,896,,4000.0,,Approved,,-71.0257,42.3642
Saratoga St,02128,Rental Arrears,Latino,Spanish,Female,,,3.0,0,,7200.0,,Approved,,-71.0257,42.3642
Saratoga St,02128,Rental Arrears,Other Race,Spanish,Female,,,5.0,#ERROR!,,3900.0,,Approved,,-71.0257,42.3642
Saratoga St,02128,Rental Arrears,White,Spanish,Female,No,Yes,2.0,0,No,9600.0,,Approved,,-71.0257,42.3642
Saratoga Street,02128,Rental Arrears,White,English,Not reported,,,3.0,2000,,4000.0,,Approved,,-71.0257,42.3642
Saratoga St,02128,Future Stipend; Rental Arrears,White,English,Female,No,Yes,1.0,2828,No,8400.0,,Approved,,-71.0257,42.3642
Saratoga St.,02128,Future Stipend; Utility Payments,Latino,Spanish,Female,,,4.0,2500,No,6188.71,,Approved,,-71.0257,42.3642
Saratoga St.,02128,Future Stipend; Rental Arrears,Latino,Spanish,Female,No,Yes,4.0,4261.4,Yes,3811.29,,Approved,,-71.0257,42.3642
Saratoga St,02132,Future Stipend; Rental Arrears,Latino,Spanish,Female,No,No,5.0,3700,Yes,17000.0,8/16/2021,Approved,,-71.1589,42.2787
Saratoga St,02128,Future Stipend; Rental Arrears,Latino,Spanish,Female,No,No,6.0,2500,,6000.0,,Approved,,-71.0257,42.3642
Saratoga St,02128,Future Stipend,Latino,Spanish,Female,No,Yes,4.0,3100,,4000.0,,Approved,,-71.0257,42.3642
Saratoga St,02128,Future Stipend,White;Latino,Spanish,Female,,,4.0,457,No,6000.0,,Approved,,-71.0257,42.3642
Saratoga St,02215,Future Stipend; Rental Arrears,White;Latino,Spanish,,,,4.0,645,,8000.0,,Approved,,-71.1027,42.3471
Saratoga St,02128,Rental Arrears,White;Latino,Spanish,Female,,,4.0,3600,,4000.0,,Approved,,-71.0257,42.3642
Saratoga St,02128,Rental Arrears,Latino,English,Female,,,1.0,600,,4000.0,,Approved,,-71.0257,42.3642
Saratoga St,02128,Future Stipend; Rental Arrears,Latino,Spanish,Male,,,3.0,4000,Yes,10650.0,,Approved,,-71.0257,42.3642
Saratoga St,02128,Rental Arrears,Latino,,Male,,,1.0,4.8,,4000.0,,Approved,,-71.0257,42.3642
SARATOGA ST,02128,Future Stipend,Latino,Spanish,Male,No,No,2.0,2000,Yes,6285.0,,Approved,,-71.0257,42.3642
Saratoga Street,02128,Rental Arrears,Latino,English,Male,,,3.0,5.8,,4000.0,,Approved,,-71.0257,42.3642
Saratoga St,02128,Rental Arrears,White,,Female,,,4.0,2530.8,,4000.0,,Approved,,-71.0257,42.3642
Saratoga St,02128,Rental Arrears,Latino,English,Female,,,4.0,25,,3100.0,,Approved,,-71.0257,42.3642
Saratoga St,02128,Rental Arrears,Latino,Spanish,Female,,,4.0,1000,,4000.0,,Approved,,-71.0257,42.3642
Saratoga Street,02128,Future Stipend; Rental Arrears,Latino,Spanish,Male,No,No,4.0,2400,Yes,14742.0,10/22/2021,Approved,,-71.0257,42.3642
Saratoga St,02128,Rental Arrears,Latino,Spanish,,No,No,3.0,300,,2550.0,,Approved,,-71.0257,42.3642
saratoga st,02128,Utility Payments,Latino,Spanish,Female,No,Yes,2.0,0,Yes,1710.58,3/18/2022,Approved,,-71.0257,42.3642
Saratoga St,02128,Future Stipend; Rental Arrears,Latino,Spanish,Female,No,Yes,5.0,1700,,4000.0,,Approved,,-71.0257,42.3642
Saratoga St,02128,Rental Arrears,Latino,Spanish,Male,No,No,4.0,1000,,6000.0,,Approved,,-71.0257,42.3642
Saratoga St.,02128,Rental Arrears,White,Spanish,Female,,,3.0,#ERROR!,,4000.0,,Approved,,-71.0257,42.3642
Saratoga Street,02128,Rental Arrears,Latino,,Male,,,5.0,1000,,2500.0,,Approved,,-71.0257,42.3642
Saratoga St,02128,Rental Arrears,White,English,Male,,,4.0,600,,3400.0,,Approved,,-71.0257,42.3642
Saratoga St,02128,,Latino,Spanish,Female,No,No,2.0,0,,6000.0,,Approved,,-71.0257,42.3642
Saratoga ,02128,Rental Arrears,Latino,Spanish,Female,No,No,2.0,1052,Yes,7500.0,,Approved,,-71.0257,42.3642
Saratoga St,02128,Rental Arrears,Latino,Spanish,Female,No,No,4.0,0,No,10000.0,,Approved,,-71.0257,42.3642
SARATOGA ST,02128,Future Stipend; Rental Arrears; Utility Payments,Latino,Spanish,Male,No,No,1.0,4000,Yes,17000.0,2/11/2022,Approved,,-71.0257,42.3642
Saratoga St,02128,Rental Arrears,Latino,Spanish,Male,,,4.0,0,,4000.0,,Approved,,-71.0257,42.3642
Saratoga St,02128,Rental Arrears,Latino,Spanish,Female,,,2.0,#ERROR!,,4000.0,,Approved,,-71.0257,42.3642
"Saratoga St,,",02128,Rental Arrears,White,English,Female,,,5.0,0,,4000.0,,Approved,,-71.0257,42.3642
Saratoga St,02128,,Latino,Spanish,Male,No,No,2.0,0,,4000.0,,Approved,,-71.0257,42.3642
Saratoga St,02128,Future Stipend; Rental Arrears,Latino,Spanish,Male,,,2.0,0,No,8738.0,,Approved,,-71.0257,42.3642
Saratoga St,02128,Future Stipend; Rental Arrears,Latino,Spanish,Female,No,Yes,3.0,0,,4744.0,,Approved,,-71.0257,42.3642
Saratoga St,02128,Future Stipend; Rental Arrears,Latino,Spanish,Male,,,2.0,1800,,10200.0,,Approved,,-71.0257,42.3642
Saratoga St,02128,Future Stipend; Rental Arrears,Latino,Spanish,Female,No,No,2.0,700,,6000.0,,Approved,,-71.0257,42.3642
Saratoga Street,02128,Future Stipend; Rental Arrears; Utility Payments,Latino,Spanish,Male,No,Yes,3.0,0,No,10200.0,,Approved,,-71.0257,42.3642
Saratoga St,02128,,White,English,Male,No,No,1.0,2200,,3060.0,,Approved,,-71.0257,42.3642
Saratoga St,02128,Future Stipend; Rental Arrears,Latino,Spanish,Female,,,4.0,0,No,11900.0,,Approved,,-71.0257,42.3642
Saratoga st,02128,Rental Arrears,Latino,Spanish,Female,No,Yes,3.0,0,Yes,14400.0,,Approved,,-71.0257,42.3642
Saratoga Street,02128,Rental Arrears,Latino,Spanish,Female,,,4.0,0,,3600.0,,Approved,,-71.0257,42.3642
Saratoga St,02128,Rental Arrears,Latino,Spanish,Female,No,No,5.0,0,Yes,10000.0,,Approved,,-71.0257,42.3642
Saratoga St,02128,Future Stipend; Rental Arrears; Utility Payments,Latino,Spanish,Male,,,3.0,1000,Yes,6612.78,7/7/2021,Approved,,-71.0257,42.3642
Saratoga Street,02128,Rental Arrears,Latino,English,Male,,,3.0,0,,3200.0,,Approved,,-71.0257,42.3642
Saratoga St,02128,Future Stipend; Rental Arrears; Utility Payments,Latino; White,Spanish,Female,,,3.0,800,All or some members of the household are not eligible,13483.62,5/14/2021,Approved,,-71.0257,42.3642
Saratoga St,02128,Future Stipend; Rental Arrears,Latino,Spanish,Female,,,2.0,1620,,6800.0,,Approved,,-71.0257,42.3642
Saratoga St,02128,Rental Arrears,Latino; White,Spanish,Female,No,No,3.0,0,,3000.0,,Approved,,-71.0257,42.3642
Saratoga Street,02128,Rental Arrears,Latino; White,English,Female,,,4.0,0,,3000.0,,Approved,,-71.0257,42.3642
Saratoga Street,02128,Rental Arrears,White,English,Female,No,No,4.0,1150,Yes,10475.0,,Approved,,-71.0257,42.3642
Saratoga St,02128,Future Stipend; Moving Costs; Utility Payments,Latino; Multi-Racial,Portguese,Female,,,5.0,2400,Yes,13560.06,8/8/2021,Approved,,-71.0257,42.3642
Saratoga St,02128,Rental Arrears,Latino,Spanish,Male,No,No,3.0,0,,6000.0,,Approved,,-71.0257,42.3642
Saratoga st,02128,Future Stipend; Rental Arrears,Middle Eastern/West Asian or North African,Arabic,Male,No,Yes,4.0,1268,No,11900.0,,Approved,,-71.0257,42.3642
Saratoga St,02128,,Middle Eastern/West Asian or North African,Arabic,Male,No,Yes,4.0,1268,,4000.0,,Approved,,-71.0257,42.3642
Saratoga St.,02128,Future Stipend; Rental Arrears,Latino,Spanish,Female,No,No,3.0,0,No,6400.0,,Approved,,-71.0257,42.3642
Saratoga St,02128,Future Stipend; Rental Arrears,White,English,Female,No,Yes,5.0,1633,,6000.0,,Approved,,-71.0257,42.3642
Saratoga St,02128,Future Stipend; Rental Arrears,White,Spanish,Female,,,5.0,3000,No,9916.0,,Approved,,-71.0257,42.3642
Savannah Ave,02126,Rental Arrears,Black,English,Female,No,No,4.0,3000,Yes,7200.0,,Approved,,-71.0939,42.2739
Savin Hill,02120,Rental Arrears,Black,English,Female,,,4.0,1750,,4000.0,,Approved,,-71.0912,42.3307
Savin Hill,02125,Rental Arrears; Utility Payments,White,English,Male,No,Yes,2.0,0,No,17000.0,,Approved,,-71.0745,42.2973
Savin St,02119,Future Stipend; Rental Arrears,Latino,Spanish,Female,,,3.0,2100,Yes,6240.0,10/8/2021,Approved,,-71.0953,42.3251
Savin Street,02119,Utility Payments,Latino,English,Female,No,Yes,1.0,2500,Yes,2000.0,,Approved,,-71.0953,42.3251
Savin Street,02119,Rental Arrears,Latino,English,Not reported,,,5.0,0,,4000.0,,Approved,,-71.0953,42.3251
Savin Hill,02124,Moving Costs,Black/African American,English,Male,No,No,1.0,2000,Yes,1164.0,,Approved,,-71.0717,42.2918
Savoy Street,02118,Rental Arrears,American Indian or Alaskan Native;Black/African American;Latino;Multi-Racial,English,Female,No,Yes,4.0,794,No,2578.0,9/23/2022,Approved,,-71.0729,42.3362
Sawyer Ave,02125,Rental Arrears,Black,English,Female,,,4.0,800,,3000.0,,Approved,,-71.0745,42.2973
sawyer ave,02128,Rental Arrears; Utility Payments,White,English,Female,Yes,Yes,2.0,0,No,1732.48,,Approved,,-71.0257,42.3642
saxton street,02125,Future Stipend; Rental Arrears,White,English,Female,No,Yes,1.0,0,No,7000.0,,Approved,,-71.0745,42.2973
Saxton St,02125,Rental Arrears,White,,Female,,,,0,,3900.0,,Approved,,-71.0745,42.2973
Saxton St,02125,Rental Arrears,White,English,Female,,,2.0,2296.2,,5200.0,,Approved,,-71.0745,42.2973
Saxton St,02125,Rental Arrears,White,English,Female,No,Yes,1.0,1260,,6000.0,,Approved,,-71.0745,42.2973
sayward st,02125,Future Stipend; Rental Arrears,Black/African American,Cape Verdean Creole,Female,No,No,1.0,0,No,6660.0,,Approved,,-71.0745,42.2973
sayward st,02125,Rental Arrears,Black/African American,Cape Verdean Creole,Female,No,Yes,1.0,0,No,3400.0,,Approved,,-71.0745,42.2973
Sayward Street,02125,Rental Arrears; Utility Payments,Black/African American,English,Female,,,1.0,776,No,14738.0,,Approved,,-71.0745,42.2973
School St,02124,Rental Arrears; Utility Payments,Black/African American,English,Female,No,Yes,1.0,124.52,No,4116.59,8/19/2022,Approved,,-71.0717,42.2918
School St,02119,Rental Arrears,White,English,Female,,,2.0,0,,2100.0,,Approved,,-71.0953,42.3251
School Street,02119,Rental Arrears,Black,,Female,,,2.0,0,,3900.0,,Approved,,-71.0953,42.3251
Schubert St,02132,Future Stipend,White,English,Male,,,1.0,2200,Yes,2700.0,,Approved,,-71.1589,42.2787
SEAPORT BLVD,02128,Future Stipend; Rental Arrears,Black/African American,English,Female,No,Yes,2.0,0,No,13820.0,8/4/2021,Approved,,-71.0257,42.3642
Seaport Blvd,02210,Rental Arrears,Black/African American,English,Male,No,No,1.0,0,No,2635.97,11/5/2021,Approved,,-71.0465,42.3489
seaport Blvd,02210,Rental Arrears,White,English,Female,No,Yes,1.0,500,No,2858.45,8/12/2022,Approved,,-71.0465,42.3489
seaport blvd,02210,Future Stipend; Rental Arrears; Utility Payments,White,English,Female,No,Yes,1.0,800,No,7313.82,2/25/2022,Approved,,-71.0465,42.3489
Seaport Blvd,02210,Rental Arrears,White,English,Not reported,,,2.0,1288,,4000.0,,Approved,,-71.0465,42.3489
Seaport Blvd,02210,Future Stipend,Black/African American,English,Male,,,2.0,2000,Yes,4476.0,,Approved,,-71.0465,42.3489
Seaport Blvd,02210,Moving Costs; Rental Arrears; Utility Payments,Black/African American,English,Female,No,Yes,1.0,3724,No,6586.99,,Approved,,-71.0465,42.3489
Seaport Blvd,02110,Rental Arrears,Black/African American,English,Male,,,2.0,1800,,2984.0,,Approved,,-71.0514,42.3576
Seaport Blvd,02210,Rental Arrears; Utility Payments,Black/African American,English,Male,,,1.0,1067,No,9275.19,,Approved,,-71.0465,42.3489
Seaport Blvd,02210,Rental Arrears,White,English,Male,,,2.0,1388,,4000.0,,Approved,,-71.0465,42.3489
Seaport St,02210,Rental Arrears,Black/African American,English,Not reported,,,2.0,550,,4000.0,,Approved,,-71.0465,42.3489
Seaport Blv,02210,Rental Arrears,Black/African American,English,Female,Yes,Yes,1.0,340,Yes,1644.0,,Approved,,-71.0465,42.3489
Seaport Boulevard,02210,Rental Arrears; Utility Payments,Black/African American,English,Female,,,2.0,202,Yes,8356.1,7/21/2021,Approved,,-71.0465,42.3489
seaver st,02121,Rental Arrears,Black/African American,English,Male,Yes,Yes,1.0,1150,Yes,792.0,11/19/2021,Approved,,-71.0745,42.2973
seaver st,02121,Future Stipend; Rental Arrears,Latino,English,Female,No,No,1.0,0,No,9000.0,11/19/2021,Approved,,-71.0745,42.2973
seaver st.,02121,Rental Arrears,Black/African American,English,Female,No,Yes,1.0,1485,No,3600.91,,Approved,,-71.0745,42.2973
seaver st,02121,Future Stipend; Rental Arrears; Utility Payments,Black/African American,English,Female,Yes,No,3.0,1412,Yes,8403.54,,Approved,,-71.0745,42.2973
Seaver street,02121,Rental Arrears,Black/African American,English,Male,No,No,3.0,5200,Yes,15000.0,,Approved,,-71.0745,42.2973
SEAVER st,02121,Utility Payments,Black/African American,English,Female,No,Yes,1.0,364.5,No,432.65,6/30/2022,Approved,,-71.0745,42.2973
Seaver ST,02121,Rental Arrears,Latino,English,Female,No,No,1.0,2094.64,Yes,2146.0,,Approved,,-71.0745,42.2973
Seaver St.,02121,Future Stipend; Rental Arrears; Utility Payments,Black/African American,English,Male,,,4.0,1048,,7780.0,,Approved,,-71.0745,42.2973
Seaver Street,02121,Rental Arrears,Black/African American,English,Male,No,No,4.0,4386,Yes,2220.0,9/30/2022,Approved,,-71.0745,42.2973
Seaver Street,02121,Future Stipend,Latino,Spanish,Female,,,2.0,2000,Yes,2424.72,,Approved,,-71.0745,42.2973
Seaver st,02121,Rental Arrears,Black,English,Female,No,Yes,3.0,2658.5,Yes,3514.0,9/16/2022,Approved,,-71.0745,42.2973
Seaver St,02121,Rental Arrears,Black/African American,English,Female,No,No,3.0,2600,Yes,6686.0,8/19/2022,Approved,,-71.0745,42.2973
Seaver St,02121,Utility Payments,Latino,English,Female,No,Yes,2.0,1000,Yes,702.25,,Approved,,-71.0745,42.2973
Seaver St,02121,Rental Arrears,Latino,English,Female,Yes,Yes,2.0,1297,Yes,1485.86,,Approved,,-71.0745,42.2973
"Seaver st,",02121,Rental Arrears,Latino,Spanish,Female,,,4.0,252,Yes,2616.0,,Approved,,-71.0745,42.2973
Seaver Street,02121,Future Stipend; Rental Arrears,Black/African American,English,Female,Yes,Yes,7.0,1400,No,16279.0,,Approved,,-71.0745,42.2973
Seaver Street,02121,Future Stipend; Rental Arrears,Black/African American,English,Female,No,Yes,1.0,0,No,14900.0,2/1/2022,Approved,,-71.0745,42.2973
Seaver street,02121,Rental Arrears,Black/African American,English,Female,No,No,1.0,1000,Yes,8400.0,7/15/2022,Approved,,-71.0745,42.2973
Seaver St,02128,Future Stipend; Rental Arrears,Latino,English,Female,,,1.0,2240,,4980.0,,Approved,,-71.0257,42.3642
Seaver Street,02128,Future Stipend,Black/African American; Latino,English,Female,No,No,4.0,4500,Yes,4254.0,,Approved,,-71.0257,42.3642
sefton st,02136,Rental Arrears,Black/African American,Haitian Creole,Female,No,No,1.0,1200,No,13500.0,,Approved,,-71.1261,42.254
Sefton St,02136,Rental Arrears,Black/African American,Haitian Creole,Female,No,Yes,4.0,1800,,1800.0,,Approved,,-71.1261,42.254
Selden St,02124,Rental Arrears; Utility Payments,Black/African American,English,Female,,,2.0,0,No,6948.0,,Approved,,-71.0717,42.2918
Selden St,02124,Future Stipend; Rental Arrears; Utility Payments,Black/African American,English,Female,No,Yes,2.0,1300,No,8028.8,,Approved,,-71.0717,42.2918
selden st,02124,Utility Payments,Black/African American,English,Male,Yes,Yes,2.0,0,No,994.11,6/3/2022,Approved,,-71.0717,42.2918
Sewall St,02120,Rental Arrears,Black/African American,English,Female,No,Yes,1.0,1700,No,1000.0,,Approved,,-71.0912,42.3307
Sewall Street,02120,Future Stipend; Rental Arrears,Black/African American; Multi-Racial; White,English,Female,,,1.0,4000,Yes,3150.0,,Approved,,-71.0912,42.3307
seymour st,02131,Future Stipend; Rental Arrears,Latino,Spanish,Female,No,No,1.0,2000,Yes,7350.0,1/21/2022,Approved,,-71.1295,42.2836
Shafter St,02121,Rental Arrears,Black/African American,English,Female,,,2.0,3800,Yes,8244.0,,Approved,,-71.0745,42.2973
Shandon Rd,02124,Future Stipend; Rental Arrears,Latino,Spanish,Female,No,Yes,5.0,2163,,4000.0,,Approved,,-71.0717,42.2918
Shannon street,02135,Future Stipend; Rental Arrears; Utility Payments,Black/African American; Latino,English,Female,Yes,Yes,3.0,0,Yes,2415.69,,Approved,,-71.1566,42.3478
Shawmut Ave,02118,Rental Arrears,White,English,Female,No,Yes,1.0,800,,3200.0,,Approved,,-71.0729,42.3362
Shawmut Avenue,02119,Rental Arrears,Black/African American,English,,,,1.0,2119.6,All or some members of the household are not eligible,15000.0,,Approved,,-71.0953,42.3251
Shawmut Ave,02119,Future Stipend; Rental Arrears; Utility Payments,Latino,Spanish,Female,No,Yes,4.0,0,No,4975.77,,Approved,,-71.0953,42.3251
Shawmut Ave,02119,Future Stipend,Latino; White,Spanish,Female,,,2.0,0,No,4221.0,,Approved,,-71.0953,42.3251
Shawmut Ave,02119,Future Stipend; Rental Arrears; Utility Payments,Latino,Spanish,Female,Yes,Yes,3.0,540,No,3880.06,,Approved,,-71.0953,42.3251
shawmut ave,02119,Moving Costs,Latino,Spanish,Female,Yes,Yes,4.0,712,No,2286.0,,Approved,,-71.0953,42.3251
Shawmut ave,02119,Utility Payments,Latino,Spanish,Female,No,Yes,3.0,758,No,306.4,,Approved,,-71.0953,42.3251
Shawmut Ave,02119,Future Stipend; Rental Arrears,Latino,Spanish,Female,No,No,2.0,2240,Yes,8645.4,,Approved,,-71.0953,42.3251
Shawmut Avenue,02119,Rental Arrears,Latino,Spanish,Female,Yes,Yes,4.0,480,No,2584.0,,Approved,,-71.0953,42.3251
Shawmut Avenue,02119,Future Stipend; Rental Arrears,Latino,Spanish,Female,Yes,Yes,2.0,544.38,No,4282.0,10/29/2021,Approved,,-71.0953,42.3251
Shawmut Avenue,02119,Future Stipend; Rental Arrears; Utility Payments,Latino,Spanish,Female,Yes,Yes,1.0,908.39,No,1509.94,,Approved,,-71.0953,42.3251
Shawmut Ave,02119,Rental Arrears,Black/African American,English,Female,No,No,1.0,0,No,1627.0,8/5/2022,Approved,,-71.0953,42.3251
Sheafe St,02113,Future Stipend; Rental Arrears,White,English,Female,No,No,3.0,2200,,2635.0,,Approved,,-71.056,42.3657
Sheafe St,02113,Rental Arrears,White,English,Female,,,3.0,0,No,1300.0,,Approved,,-71.056,42.3657
Sheffield Road,02131,Future Stipend; Rental Arrears,Black/African American,English,Genderqueer Gender non binary,No,No,2.0,1650,Yes,12600.0,3/22/2022,Approved,,-71.1295,42.2836
Shelby St,02128,Rental Arrears,White,English,Male,No,Yes,2.0,1785,,6000.0,,Approved,,-71.0257,42.3642
Shelby Street,02128,Rental Arrears,Latino,Spanish,Female,,,4.0,0,,4000.0,,Approved,,-71.0257,42.3642
Shelby St,02128,Future Stipend; Rental Arrears; Utility Payments,Latino,Spanish,Female,No,No,4.0,3300,No,10327.73,,Approved,,-71.0257,42.3642
Shelby Street,02128,Rental Arrears,White,English,Male,,,1.0,3000,,3450.0,,Approved,,-71.0257,42.3642
Shelby St,02128,Future Stipend,Latino,Spanish,Female,,,2.0,2228,Yes,5700.0,,Approved,,-71.0257,42.3642
Shelby St,02128,Rental Arrears,Latino,Spanish,Female,No,No,2.0,1208,,3800.0,,Approved,,-71.0257,42.3642
Shelby St,02128,Rental Arrears,Middle Eastern/West Asian or North African,Arabic,Male,,,2.0,1518,Unemployment application was accepted,15000.0,,Approved,,-71.0257,42.3642
Shepton St.,02124,Future Stipend; Rental Arrears; Utility Payments,Black/African American,English,Female,No,No,3.0,282,Yes,16431.8,10/15/2021,Approved,,-71.0717,42.2918
SHERMAN ST,02135,Rental Arrears,American Indian or Alaskan Native; Latino; White,English,Male,No,No,2.0,2268,No,15000.0,,Approved,,-71.1566,42.3478
Shirley St,02119,Rental Arrears,American Indian or Alaskan Native,Spanish,Female,,,3.0,2000,,3775.0,,Approved,,-71.0953,42.3251
Shirley St,02119,Rental Arrears,Asian,English,Male,,,1.0,0,,2000.0,,Approved,,-71.0953,42.3251
Shirley St,02119,Future Stipend; Rental Arrears,Black/African American; White,Cape Verdean Creole,Female,,,2.0,0,No,5600.0,,Approved,,-71.0953,42.3251
Shirley Street,02119,Rental Arrears,Black/African American; White,English,Female,,,2.0,2558,,2800.0,,Approved,,-71.0953,42.3251
"Sierra Road,",02136,Rental Arrears,Latino,Spanish,Female,,,3.0,2000,,3200.0,,Approved,,-71.1261,42.254
Sierra Rd,02136,,Black/African American,English,Female,No,Yes,3.0,3200,,4000.0,,Approved,,-71.1261,42.254
Sierra Road,02136,Rental Arrears,Black,Haitian Creole,Female,,,2.0,3376,,9882.0,5/15/2021,Approved,,-71.1261,42.254
Sierra Road,02136,Rental Arrears; Utility Payments,Black,Haitian Creole,Female,No,Yes,2.0,3512,Yes,5379.32,,Approved,,-71.1261,42.254
Sierra Road,02136,Rental Arrears; Utility Payments,White,English,Female,,,1.0,0,No,9536.57,,Approved,,-71.1261,42.254
Sierra Rd.,02136,Future Stipend; Rental Arrears; Utility Payments,White,English,Female,No,No,1.0,0,No,12643.07,,Approved,,-71.1261,42.254
Sierra Rd,02136,Rental Arrears; Utility Payments,Black/African American,English,Female,,,2.0,150,No,12060.89,8/17/2021,Approved,,-71.1261,42.254
Sierra Road,02136,Rental Arrears,White,Portuguese,Female,,,1.0,1350,,4000.0,,Approved,,-71.1261,42.254
Sierra Road,02136,Rental Arrears,Latino,English,Female,,,1.0,1000,,4000.0,,Approved,,-71.1261,42.254
Sierra Rd,02136,Rental Arrears,Latino,Spanish,Male,,,4.0,2600,Yes,6600.0,,Approved,,-71.1261,42.254
SIERRA RD,02136,Future Stipend; Rental Arrears,White,English,Female,No,No,2.0,2100,Yes,10000.0,,Approved,,-71.1261,42.254
Silloway Street,02124,Rental Arrears,Black/African American,English,Male,No,No,1.0,3400,Yes,15000.0,,Approved,,-71.0717,42.2918
Slayton Way,02119,Rental Arrears; Utility Payments,Black/African American,English,Female,,,3.0,2400,Yes,3062.44,10/22/2021,Approved,,-71.0953,42.3251
Slayton Way,02119,Future Stipend; Rental Arrears,Latino,English,Female,No,Yes,2.0,306,,3297.0,,Approved,,-71.0953,42.3251
Smith Street,02120,Future Stipend; Rental Arrears; Utility Payments,Latino,English,Female,No,Yes,4.0,1223,No,4543.29,11/9/2021,Approved,,-71.0912,42.3307
Smith Street,02120,Rental Arrears,Latino,English,Female,No,No,4.0,1311.3,No,2633.93,,Approved,,-71.0912,42.3307
Smith Street,02120,Rental Arrears,Black/African American,English,Female,No,No,2.0,0,Yes,1498.0,,Approved,,-71.0912,42.3307
Snow St,02135,Future Stipend,Black/African American,English,Female,No,Yes,2.0,2060,,4200.0,,Approved,,-71.1566,42.3478
Sonoma Street,02125,Future Stipend; Rental Arrears; Utility Payments,Latino,Spanish,Female,,,2.0,3840,All or some members of the household are not eligible,3915.28,,Approved,,-71.0745,42.2973
South Point,02125,Future Stipend,White,,Male,,,1.0,4000,No,5700.0,,Approved,,-71.0745,42.2973
